in_dtype,acc_dtype,out_dtype,sf_dtype,sf_vec_size,a_major,b_major,c_major,mma_m,mma_n,cta_m,cta_n,cluster_m,cluster_n,m,n,k,runtime_us
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,1,4096,7168,128000,21252.096557617188
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,2,4096,7168,128000,12189.491271972656
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,1,4096,7168,128000,12638.617706298828
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,2,4096,7168,128000,8048.0255126953125
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,1,4096,7168,128000,9741.926574707031
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,2,4096,7168,128000,6977.33154296875
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,1,4096,7168,128000,7021.1517333984375
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,2,4096,7168,128000,6410.841369628906
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,1,4096,7168,128000,16423.936462402344
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,2,4096,7168,128000,9407.481384277344
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,1,4096,7168,128000,7875.583648681641
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,2,4096,7168,128000,6016.819381713867
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,1,4096,7168,128000,5463.0401611328125
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,2,4096,7168,128000,5936.742401123047
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,1,4096,7168,128000,5575.680160522461
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,2,4096,7168,128000,5507.680130004883
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,1,4096,128000,7168,12412.108612060547
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,2,4096,128000,7168,10512.569427490234
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,1,4096,128000,7168,8172.544097900391
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,2,4096,128000,7168,7609.958648681641
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,1,4096,128000,7168,6789.119720458984
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,2,4096,128000,7168,6863.667297363281
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,1,4096,128000,7168,6280.192184448242
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,2,4096,128000,7168,6401.023864746094
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,1,4096,128000,7168,10153.177642822266
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,2,4096,128000,7168,8670.822143554688
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,1,4096,128000,7168,6233.087921142578
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,2,4096,128000,7168,5682.790374755859
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,1,4096,128000,7168,4924.211120605469
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,2,4096,128000,7168,5431.084823608398
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,1,4096,128000,7168,4841.881561279297
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,2,4096,128000,7168,5418.393707275391
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,1,128000,7168,4096,17461.23504638672
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,2,128000,7168,4096,12197.273254394531
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,1,128000,7168,4096,9418.547058105469
