in_dtype,acc_dtype,out_dtype,sf_dtype,sf_vec_size,a_major,b_major,c_major,mma_m,mma_n,cta_m,cta_n,cluster_m,cluster_n,m,n,k,runtime_us
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,4096,7168,128000,2966.7327880859375
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,4096,7168,128000,2982.5023651123047
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,4096,7168,128000,1856.9215774536133
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,4096,7168,128000,1981.8496704101562
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,4096,7168,128000,1585.1519584655762
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,4096,7168,128000,1783.8079452514648
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,4096,7168,128000,1430.5279731750488
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,4096,7168,128000,1419.4687843322754
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,4096,128000,7168,3108.8640213012695
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,4096,128000,7168,3438.5921478271484
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,4096,128000,7168,1901.9775390625
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,4096,128000,7168,2108.006477355957
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,4096,128000,7168,1685.0944519042969
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,4096,128000,7168,1856.9215774536133
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,4096,128000,7168,1635.5327606201172
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,4096,128000,7168,1801.215934753418
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,128000,7168,4096,4385.996627807617
